"term","score"
"inflammatory",2.71030353751569
"intermitting",2.45434246997228
"botany",2.41224312202959
"febrile",2.26837874926485
"pustules",2.26082756399936
"epidemic",2.08462664714495
"fever",2.06259950743818
"bilious",2.01758052060146
"salivation",1.81935562458128
"venereal",1.76888634660144
"miliary",1.7601320374106
"measles",1.6653156996587
"pharmacy",1.60792430514488
"rheumatism",1.60413129598189
"nausea",1.59052284314706
"delirious",1.57354525862069
"dysentery",1.55852215326887
"inoculation",1.53884802652025
"intermittent",1.50313259174019
"thefever",1.45198582882715
"capsule",1.44343965800723
"empalement",1.41612764122467
"infirmary",1.34466858789625
"jaundice",1.32629762378866
"surgery",1.32618970888388
"evacuations",1.30388296911685
"thepatient",1.27224150529777
"palsy",1.26870505310282
"pestilential",1.24851485148515
"apothecary",1.24789040007942
"thecure",1.24275362318841
"peripneumony",1.23984947514359
"virus",1.23960643015521
"fymp",1.23520932975169
"dropsy",1.23454210202827
"farriers",1.22178160363672
"fevers",1.21713208921545
"urethra",1.21604561189167
"physic",1.19544955777951
"colic",1.19267688004577
"infection",1.19049058124307
"lues",1.18758755100798
"symptom",1.17546097324276
"vomiting",1.17148476325417
"sweats",1.16960591133005
"patients",1.16750529944543
"chronic",1.16292588406265
"contagious",1.15822932917317
"dicine",1.15768497660717
"suppuration",1.15399743871204
"confluent",1.15167785234899
"apothecaries",1.14820120103576
"anatomy",1.1317067340017
"morbific",1.12882508500189
"inoculated",1.12882396527998
"opiates",1.12454534052427
"hippocrates",1.11694588584136
"scrotum",1.11052955665025
"pox",1.1018039425213
"poisonous",1.10029883557174
"surgeon",1.09741437683389
"gonorrhoea",1.09364548494983
"epilepsy",1.08536098923016
"diseased",1.07686946131634
"blisters",1.06202189890505
"regimen",1.06072538860104
"scurvy",1.05285924583852
"evacuation",1.04731629783592
"leyden",1.04473112559294
"tertian",1.04082607138594
"physician",1.03843185162562
"pleurisy",1.03764623097898
"pulse",1.0320691301958
"gout",1.03060086844267
"poison",1.02299670727476
"morbid",1.022365532382
"malady",1.02222156292648
"patient",1.02138409793892
"incurable",1.01882551278449
"hospital",1.01745645298931
"chemical",1.01467435499372
"emaciated",1.01356623514808
"medicine",1.01103902165795
"cough",1.00911092807074
"oblong",1.00408127441085
"experimental",1.00004668316138
"aking",1
"alteration",1
"bark",1
"care",1
"cautions",1
"cure",1
"cut",1
"danger",1
"destruction",1
"digestion",1
"disease",1
"doctor",1
"expanding",1
"growing",1
"heart",1
"hurtful",1
"illness",1
"impede",1
"intervention",1
"intoxicating",1
"irritation",1
"lectures",1
"longing",1
"medicinal",1
"needle",1
"open",1
"painful",1
"perforated",1
"plants",1
"prescription",1
"pringle",1
"propagation",1
"protuberance",1
"regulation",1
"sick",1
"treatment",1
"unfit",1
"vein",1
"zinc",1
"catheter",0.981935831760582
"quartan",0.881664044747422
"auricle",0.842206790123457
"venerea",0.836984352773826
"putrid",0.802565954665841
"palpitation",0.761241970021413
"delirium",0.749062579635225
"theplants",0.732706459525756
"buboes",0.706698374950456
"ventricle",0.696377109921779
"ofplants",0.695624921649743
"erysipelas",0.684172269671088
"pericardium",0.628291488058787
"imminent",0.603116807457035
"gleet",0.595135347194979
"plethoric",0.592466684797389
"peruvian",0.591279209828957
"catarrh",0.587201442091032
"s.from",0.584605433376455
"pulmonary",0.580861929934594
"thedisease",0.580428843447305
"germen",0.57400651465798
"contrite",0.573759254181519
"botanists",0.569444444444444
"aorta",0.546871815773385
"cautery",0.539399934058688
"slices",0.530780232931492
"corolla",0.529210249851551
"sciatica",0.526633339079469
"botanical",0.521145011190953
"petal",0.517588877484371
"hydrocele",0.516099013586451
"jugular",0.511634426689094
"ulceration",0.504968383017163
"herbaceous",0.49798359059936
"afever",0.482676697683627
"petals",0.48028161267257
"bougie",0.475744843391902
"bleedings",0.473066831301127
"zoology",0.466935406468951
"bubo",0.458293515358362
"ventricles",0.457103771741255
"agues",0.44918998527246
"cancerous",0.444127436994769
"stove",0.438939925929489
"truffles",0.433717948717949
"fuckers",0.431506849315068
"thebark",0.426569089555941
"glans",0.416335926337514
"cuttings",0.412572926354951
"commonable",0.408214849921011
"fearcheth",0.407281813314296
"diluting",0.405675417153789
"tanners",0.404338795291946
"succulent",0.398503032649374
"gravy",0.396053350327749
"paroxysm",0.395927138763815
"vomits",0.395800349970836
"cullis",0.39340718724669
"dispensatory",0.393245967741935
"throbbing",0.390930829864494
"thesmall",0.389733840304183
"dileafe",0.384414372375175
"throb",0.382939094803502
"thinned",0.382669537136706
"prepuce",0.38135593220339
"emetics",0.38067670140229
"throats",0.37112491824722
"patient's",0.368617168092741
"italks",0.360769101028841
"foundling",0.36066502928396
"dropfies",0.358548074258797
"anchovy",0.358201127573096
"thyheart",0.355128974205159
"ranking",0.354157452454666
"asthma",0.352096132996025
"transplant",0.350598201679423
"chopped",0.350047631419416
"bleeds",0.34670451740311
"ipecacuanha",0.34648868253047
"chirurgical",0.346321879796906
"hardned",0.341732611411912
"magnetic",0.341360186806772
"cleaveth",0.338709677419355
"abscess",0.333963691376702
"inpieces",0.331608711346408
"aching",0.331015958287249
"chemistry",0.330820895522388
"midwifery",0.329818869964855
"exotic",0.328754031776371
"cancers",0.327563249001332
"garnish",0.32714195384129
"vomitings",0.327106927489337
"costive",0.326619071902091
"spasmodic",0.326400825025782
"fhaped",0.325529216661789
"heartis",0.325138457382142
"penis",0.32501431961378
"onion",0.325008039446886
"scorbutic",0.321219781956075
"monogynia",0.320204603580563
"deceitfulness",0.319260817307692
"calyx",0.318885448916409
"broths",0.317604946306541
"paroxysms",0.317243675099867
"transplanted",0.317157644861268
"purifies",0.316886123571119
"curable",0.315766597848528
"clysters",0.31537260151718
"parsley",0.31428111415231
"ligature",0.313870258693569
"yolks",0.311267798466594
"dispensary",0.30991124260355
"ulcers",0.309348376698135
"suture",0.308354591836735
"ovate",0.308124525436598
"lhaped",0.307417046193884
"pruned",0.307258170363565
"bitters",0.305971843778383
"transplanting",0.304837364470392
"infecion",0.304785415875427
"ftew",0.30450206943154
"spermatic",0.303727431566686
"diarrhoea",0.303690913015325
"fry'd",0.301629006831319
"thegout",0.301001148859347
"adulteries",0.300653594771242
"eruption",0.300587974262259
"takento",0.30029472764982
"roundish",0.296238731737644
"theplant",0.29383805805466
"mushrooms",0.293536503683858
"shred",0.293373293373293
"bandage",0.29235801969513
"magnetical",0.292127189253528
"umbilical",0.291230366492147
"catarrhs",0.291071428571429
"chronical",0.290165723925772
"cornered",0.289493719071184
"minced",0.286198022484085
"artichoke",0.285392921415717
"purgatives",0.285206611570248
"careth",0.283882289416847
"drills",0.283273629098925
"testicle",0.277066722618548
"pots",0.276453061931099
"fistula",0.27539009033671
"thesymptoms",0.274590841461399
"surgeons",0.273663824944596
"cicatrix",0.27255603691844
"soreness",0.269486061065807
"coughing",0.269463165233558
"holpital",0.26687543493389
"fpear",0.264792899408284
"immi",0.264181234391723
"gouty",0.262029799706888
"emetic",0.261190048979196
"tournefort",0.260513131926522
"flamina",0.258111853905104
"toms",0.256163347617847
"rheumatic",0.255403235766333
"ulcer",0.251968503937008
"antiseptic",0.251177394034537
"lochia",0.245614035087719
"valve",0.242409220473417
"minent",0.239414694894147
"thedoors",0.238851230824117
"cureof",0.238658481808654
