"port","country","freq0","freq1","freq2","freq3","latitude","longitude"
"Alexandria","Egypt",1,0,1,1,"31.2000924","29.91873869999995"
"Algiers","Algeria",0,0,0,1,"36.6997294","3.0576198999999633"
"Amsterdam","Netherlands",0,0,0,1,"52.3702157","4.895167899999933"
"Belem","Brasil",0,0,0,1,"-1.4557794","-48.490196800000035"
"Bremen","Germany",0,0,0,8,"53.07929619999999","8.801693699999987"
"Brighton","England",0,0,1,0,"50.82253000000001","-0.13716299999998682"
"Bristol","England",0,0,0,2,"51.454513","-2.5879099999999653"
"Cadiz","Spain",0,0,0,1,"36.5270612","-6.288596200000029"
"Cairo","Egypt",0,0,0,3,"30.1197986","31.537000300000045"
"Cape Coast","Ghana",0,1,0,0,"5.13151","-1.2794744000000264"
"Cartagena","Colombia",0,0,0,1,"10.41373","-75.53357690000001"
"Charleston","South Carolina US",0,0,0,0,"32.7764749","-79.93105120000001"
"Curacao","Netherlands",0,0,0,3,"12.1224221","-68.88242330000003"
"Douglas","Isle of Man",0,0,0,10,"54.1523372","-4.4861227999999755"
"Dublin","Ireland",0,1,0,4,"53.3498053","-6.260309699999993"
"Dunkirk","France",0,0,2,0,"51.0343684","2.3767762999999604"
"Edinburgh","Scotland",0,0,1,2,"55.953252","-3.188266999999996"
"Falmouth","England",0,0,0,3,"50.15257099999999","-5.066270000000031"
"Gosport","England",0,0,0,3,"50.79499499999999","-1.1175470000000587"
"Hamburg","Germany",0,0,0,0,"53.5510846","9.99368179999999"
"Havana","Cuba",0,0,1,0,"23.1135925","-82.36659559999998"
"Iskenderun","Turkey",2,0,0,1,"36.584673","36.17561610000007"
"Istanbul","Turkey",0,0,1,1,"41.1634302","28.766440800000055"
"Izmir","Turkey",0,0,1,1,"38.423734","27.142826000000014"
"Jakarta","Indonesia",0,0,2,4,"-6.1744651","106.82274499999994"
"Jeddah","Saudi Arabia",0,1,0,8,"21.2854067","39.23755070000004"
"Kingston","Jamaica",0,0,0,0,"17.9683271","-76.78270199999997"
"Kolkata","India",0,0,0,1,"22.572646","88.36389499999996"
"Liepaja","Latvia",0,0,0,1,"56.5046678","21.010806000000002"
"Liverpool","England",0,0,0,0,"53.4083714","-2.9915726000000404"
"Livorno","Italy",1,1,0,1,"43.0239848","10.66471009999998"
"London","England",1,12,9,24,"51.5073509","-0.12775829999998223"
"Londonderry","Northern Ireland",0,0,0,1,"54.9966124","-7.308574799999974"
"Malaga","Spain",0,0,1,0,"36.721261","-4.421265500000004"
"Manila","Philippines",0,0,1,2,"14.5995124","120.9842195"
"Marseille","France",0,2,0,0,"43.296482","5.369779999999992"
"Mecca","Saudi Arabia",0,4,1,3,"21.3890824","39.85791180000001"
"Messina","Italy",0,0,0,1,"38.1938137","15.55401519999998"
"Mocha","Yemen",0,1,0,10,"13.3203021","43.24731459999998"
"Nassau","Bahamas",0,0,0,8,"25.0479835","-77.355413"
"Newcastle","England",2,1,1,0,"54.978252","-1.6177800000000389"
"New Ross","Ireland",0,0,0,2,"52.39620439999999","-6.947189999999978"
"New York","New York US",0,0,0,0,"40.7127837","-74.00594130000002"
"Ostend","Belgium",0,0,0,4,"51.21543","2.9286560000000463"
"Petra","Jordan",1,0,0,0,"30.3284544","35.4443622"
"Philadelphia","Pennsylvania US",0,0,0,3,"39.9525839","-75.16522150000003"
"Plymouth","England",0,0,0,5,"50.3754565","-4.14265649999993"
"Portsmouth VA","Virginia US",0,0,0,3,"36.8354258","-76.29827419999998"
"Roseau","Dominica",0,0,0,1,"15.3091676","-61.37935540000001"
"Santiago de Cuba","Cuba",0,0,0,2,"20.01693","-75.83015369999998"
"Southampton","England",0,1,0,0,"50.9097004","-1.404350900000054"
"Suez","Egypt",0,0,4,2,"29.3682255","32.17460499999993"
"Surat","Bhārat",0,0,2,0,"21.1702401","72.83106070000008"
"Toulon","France",0,0,0,3,"43.124228","5.927999999999997"
"Valletta","Malta",0,0,0,1,"35.89890849999999","14.514552800000047"
"Whitehaven","England",0,0,2,0,"54.549699","-3.5892330000000356"
"Youghal","Ireland",0,0,0,3,"51.9542704","-7.847170699999992"
