"port","country","freq0","freq1","freq2","freq3","latitude","longitude"
"Aden","Yemen",0,0,0,1,"12.7854969","45.01865479999992"
"Algiers","Algeria",0,1,0,0,"36.6997294","3.0576198999999633"
"Antananarivo","Madagascar",0,0,2,13,"-18.8791902","47.50790549999999"
"Bago","Myanmar",0,0,0,3,"18.3312802","96.06791939999994"
"Bangkok","Thailand",0,0,0,1,"13.7563309","100.50176510000006"
"Banjarmasin","Indonesia",0,0,1,1,"-3.3167073","114.59012359999997"
"Guangzhou","China",0,0,0,14,"23.12911","113.26438499999995"
"Istanbul","Turkey",0,1,2,0,"41.1634302","28.766440800000055"
"Izmir","Turkey",0,1,2,0,"38.423734","27.142826000000014"
"Jakarta","Indonesia",0,0,0,1,"-6.1744651","106.82274499999994"
"Kolkata","India",0,0,0,5,"22.572646","88.36389499999996"
"London","England",0,0,7,2,"51.5073509","-0.12775829999998223"
"Macao","China",0,0,0,2,"26.417825","110.14234099999999"
"Malacca","Malesia",0,3,9,2,"2.189594","102.25008679999996"
"Rio de Janeiro","Brasil",0,0,0,2,"-22.9068467","-43.17289649999998"
"Surat","Bhārat",0,0,2,0,"21.1702401","72.83106070000008"
"Tripoli","Libya",0,0,1,0,"32.8872094","13.191338299999984"
