"port","country","freq0","freq1","freq2","freq3","latitude","longitude"
"Aachen","Germany",0,0,0,1,"50.7753455","6.083886799999959"
"Aberdeen","Scotland",0,0,1,0,"57.149717","-2.094278000000031"
"Acapulco","Mexico",0,0,10,6,"16.8531086","-99.82365329999999"
"A Coruna","Spain",0,0,1,1,"43.36233639999999","-8.411594000000036"
"Aden","Yemen",0,0,0,1,"12.7854969","45.01865479999992"
"Aleppo","Syria",0,0,1,1,"36.2021047","37.13426030000005"
"Alexandria","Egypt",1,0,0,2,"31.2000924","29.91873869999995"
"Amsterdam","Netherlands",0,0,0,1,"52.3702157","4.895167899999933"
"Arequipa","Peru",0,0,1,0,"-16.4090474","-71.53745099999998"
"Arkhangelsk","Russia",0,2,1,1,"64.54725069999999","40.56015530000002"
"Athens","Greece",0,2,1,1,"37.9838096","23.727538800000048"
"Attica","Greece",0,0,1,0,"38.0457568","23.85847369999999"
"Baltimore","Maryland US",0,0,0,1,"39.2903848","-76.61218930000001"
"Bangkok","Thailand",0,0,1,0,"13.7563309","100.50176510000006"
"Banjarmasin","Indonesia",0,0,1,2,"-3.3167073","114.59012359999997"
"Barcelona","Spain",0,0,0,0,"41.38506389999999","2.1734034999999494"
"Barranca","Peru",0,0,0,1,"-10.7507694","-77.75951309999999"
"Barton","Philippines",0,0,0,1,"10.3730499","119.14289899999994"
"Beijing","China",0,0,0,1,"39.90419989999999","116.40739630000007"
"Bergen","Norway",0,0,0,1,"60.39126279999999","5.32205440000007"
"Bizerte","Tunisia",1,2,0,1,"37.2746124","9.862724299999968"
"Bordeaux","France",0,0,0,1,"44.837789","-0.5791799999999512"
"Boston","Massachusetts US",0,1,4,131,"42.3600825","-71.05888010000001"
"Boulogne-sur-mer","France",0,0,3,0,"50.725231","1.613334000000009"
"Brest","France",0,0,0,1,"48.390394","-4.4860760000000255"
"Bristol","England",0,0,2,2,"51.454513","-2.5879099999999653"
"Bruges","Belgium",0,0,0,0,"51.209348","3.2246995000000425"
"Cadiz","Spain",0,2,1,3,"36.5270612","-6.288596200000029"
"Callao","Peru",0,2,1,1,"-12.0508491","-77.12598430000003"
"Cardiff","England",0,0,0,1,"51.48158100000001","-3.1790899999999738"
"Cartagena","Colombia",0,0,2,1,"10.41373","-75.53357690000001"
"Chancay","Peru",0,0,0,1,"-11.5741352","-77.2663771"
"Copenhagen","Denmark",0,0,1,0,"55.6760968","12.568337100000008"
"Cowes","England",0,0,2,0,"50.76278500000001","-1.300532999999973"
"Diego Garcia","Diego Garcia",0,0,0,1,"-7.319500500000001","72.42285560000005"
"Dieppe","France",0,0,1,0,"49.922992","1.0774830000000293"
"Douglas","Isle of Man",0,0,2,11,"54.1523372","-4.4861227999999755"
"Dover","England",0,1,0,4,"51.1278758","1.3134026999999833"
"Dublin","Ireland",0,2,3,18,"53.3498053","-6.260309699999993"
"Dunkirk","France",0,1,1,1,"51.0343684","2.3767762999999604"
"Edinburgh","Scotland",0,0,0,3,"55.953252","-3.188266999999996"
"Elblag","Poland",0,0,1,1,"54.1560613","19.4044897"
"Flanders","Belgium",0,0,0,1,"51.0108706","3.7264612999999827"
"Friuli","Italy",0,0,1,0,"46.22591769999999","13.103364599999964"
"Galicia","Spain",0,0,1,0,"42.5750554","-8.133855799999992"
"Gdansk","Poland",0,1,0,1,"54.35202520000001","18.64663840000003"
"Genoa","Italy",0,1,0,0,"44.4056499","8.946255999999948"
"Gibraltar","Gibraltar",0,0,1,1,"36.14075099999999","-5.353585000000066"
"Gondar","Ethiopia",0,0,1,0,"12.6030181","37.45213190000004"
"Gothenburg","Sweden",0,1,0,0,"57.70887","11.974559999999997"
"Granada","Spain",0,0,0,1,"37.1773363","-3.5985570999999936"
"Guangzhou","China",0,0,2,13,"23.12911","113.26438499999995"
"Havana","Cuba",0,0,0,0,"23.1135925","-82.36659559999998"
"Hull","England",0,0,1,1,"53.7456709","-0.3367412999999715"
"Ipswich","England",0,0,0,1,"52.05673599999999","1.1482200000000375"
"Iskenderun","Turkey",0,1,0,1,"36.584673","36.17561610000007"
"Istanbul","Turkey",0,1,0,1,"41.1634302","28.766440800000055"
"Jakarta","Indonesia",0,1,3,4,"-6.1744651","106.82274499999994"
"Jeddah","Saudi Arabia",0,0,0,1,"21.2854067","39.23755070000004"
"Kalmar","Sweden",0,0,0,3,"56.6634447","16.35677899999996"
"Kingston","Jamaica",0,0,0,0,"17.9683271","-76.78270199999997"
"Kolkata","India",0,0,0,3,"22.572646","88.36389499999996"
"La Paz","Bolivia",0,0,0,1,"-16.489689","-68.11929359999999"
"Le Havre","France",0,1,0,1,"49.49437","0.10792900000001282"
"Leith","Scotland",0,2,0,1,"55.97552779999999","-3.166510199999948"
"Liepaja","Latvia",0,0,0,2,"56.5046678","21.010806000000002"
"Lima","Peru",1,1,2,2,"-12.2720956","-76.27108329999999"
"Lisbon","Portugal",0,2,3,3,"38.7222524","-9.139336599999979"
"Liverpool","England",0,0,0,2,"53.4083714","-2.9915726000000404"
"Livorno","Italy",0,0,3,0,"43.0239848","10.66471009999998"
"London","England",2,15,40,81,"51.5073509","-0.12775829999998223"
"Luanda","Angola",0,1,0,0,"-8.839987599999999","13.289436799999976"
"Macao","China",0,0,1,0,"26.417825","110.14234099999999"
"Madrid","Spain",0,1,1,1,"40.4167754","-3.7037901999999576"
"Malaga","Spain",0,1,2,0,"36.721261","-4.421265500000004"
"Manila","Philippines",0,0,1,4,"14.5995124","120.9842195"
"Marseille","France",0,0,1,2,"43.296482","5.369779999999992"
"Medina","Saudi Arabia",0,0,1,0,"24.5246542","39.56918410000003"
"Messina","Italy",0,0,1,0,"38.1938137","15.55401519999998"
"Mexico City","Mexico",0,0,2,0,"19.4326077","-99.13320799999997"
"Mobile","Alabama US",0,0,0,3,"30.6953657","-88.0398912"
"Mocha","Yemen",0,1,0,1,"13.3203021","43.24731459999998"
"Mombasa","Kenya",0,0,0,1,"-4.0434771","39.6682065"
"Nanking","China",0,0,3,0,"32.060255","118.796877"
"Nantes","France",0,0,0,4,"47.218371","-1.553621000000021"
"Newcastle","England",2,1,2,2,"54.978252","-1.6177800000000389"
"New York","New York US",0,0,0,1,"40.7127837","-74.00594130000002"
"Norfolk","England",0,0,0,2,"52.61396860000001","0.8864020999999411"
"Öregrund","Sweden",0,0,0,1,"60.3392558","18.440253799999937"
"Oslo","Norway",0,0,0,1,"59.9138688","10.752245399999993"
"Ostend","Belgium",0,0,1,1,"51.21543","2.9286560000000463"
"Paita","Peru",0,0,0,1,"-5.0870571","-81.10084719999998"
"Palermo","Italy",0,1,1,1,"38.1156879","13.361267099999964"
"Panama City","Panama",0,0,1,1,"8.982379199999999","-79.51986959999999"
"Pangi","India",0,0,0,1,"31.5892036","78.27751289999992"
"Paris","France",0,0,4,2,"48.85661400000001","2.3522219000000177"
"Piraeus","Greece",0,0,2,1,"37.9429857","23.646983200000022"
"Pisa","Italy",0,1,0,0,"43.7228386","10.401688799999988"
"Plymouth","England",0,0,0,4,"50.3754565","-4.14265649999993"
"Poole","England",0,0,5,3,"50.71505","-1.9872480000000223"
"Portsmouth","England",0,2,0,0,"50.8197675","-1.0879769000000579"
"Puducherry","India",0,1,0,0,"11.9138598","79.81447219999995"
"Queenborough","England",0,0,0,1,"51.4172853","0.7470207000000073"
"Rabat","Morocco",0,0,0,1,"33.9715904","-6.849812899999961"
"Red Sea","Seazone",0,0,0,1,"20.280232","38.512572999999975"
"Rhodes","Greece",0,3,1,1,"36.4340533","28.2176379"
"Rio de Janeiro","Brasil",0,0,0,1,"-22.9068467","-43.17289649999998"
"Rochefort","France",0,0,1,0,"45.936698","-0.9616969999999583"
"Rouen","France",0,0,0,1,"49.44323199999999","1.0999709999999823"
"Saint Petersburg","Russia",0,0,2,0,"59.9342802","30.335098600000038"
"Sale","Morocco",0,0,1,1,"34.0336969","-6.770813800000042"
"Samos","Greece",1,0,1,0,"37.7547857","26.977770100000043"
"San Diego","California US",0,0,0,1,"32.715738","-117.16108380000003"
"Sandwich","England",0,0,0,1,"51.2870393","1.3329780999999912"
"Santa Cruz","California US",0,0,2,0,"36.97411709999999","-122.03079630000002"
"Santorini","Greece",0,0,1,0,"36.3931562","25.461509200000023"
"Sete","France",0,0,0,2,"43.4078758","3.700821899999937"
"Shangchuan","China",0,0,0,6,"21.72575","112.79818799999998"
"Sicily","Italy",0,0,0,1,"37.39792969999999","14.658782100000053"
"Sonsonate","El Salvador",0,0,0,2,"13.7113876","-89.72390970000004"
"Southampton","England",0,2,2,0,"50.9097004","-1.404350900000054"
"Suez","Egypt",0,1,0,2,"29.3682255","32.17460499999993"
"Sunderland","England",0,0,0,1,"54.90686899999999","-1.3838009999999485"
"Surat","Bhārat",0,0,1,0,"21.1702401","72.83106070000008"
"Tadoussac","Canada",0,1,1,0,"48.1459776","-69.71283950000003"
"Thoothukudi","India",0,0,0,1,"8.764166099999999","78.13483610000003"
"Toulon","France",0,0,2,4,"43.124228","5.927999999999997"
"Trieste","Italy",0,1,0,0,"45.6495264","13.77681819999998"
"Tripoli","Libya",0,0,2,2,"32.8872094","13.191338299999984"
"Valdivia","Chile",0,1,0,1,"-39.8173788","-73.24253329999999"
"Valparaiso","Chile",0,0,0,1,"-33.04723799999999","-71.61268849999999"
"Venice","Italy",0,0,0,0,"45.4408474","12.31551509999997"
"Veracruz","Mexico",0,1,1,0,"19.173773","-96.13422409999998"
"Washington","DC US",0,0,0,0,"38.9071923","-77.03687070000001"
"Weymouth","England",0,2,0,0,"50.6144279","-2.4576210000000174"
"Whitehaven","England",0,0,4,0,"54.549699","-3.5892330000000356"
