"port","country","frequency","latitude","longitude"
"Aachen","Germany",2,"50.7753455","6.083886799999959"
"Aberdeen","Scotland",1,"57.149717","-2.094278000000031"
"Acapulco","Mexico",16,"16.8531086","-99.82365329999999"
"A Coruna","Spain",2,"43.36233639999999","-8.411594000000036"
"Aden","Yemen",1,"12.7854969","45.01865479999992"
"Aleppo","Syria",2,"36.2021047","37.13426030000005"
"Alexandria","Egypt",7,"31.2000924","29.91873869999995"
"Amsterdam","Netherlands",1,"52.3702157","4.895167899999933"
"Arequipa","Peru",1,"-16.4090474","-71.53745099999998"
"Arkhangelsk","Russia",4,"64.54725069999999","40.56015530000002"
"Athens","Greece",4,"37.9838096","23.727538800000048"
"Attica","Greece",1,"38.0457568","23.85847369999999"
"Baltimore","Maryland US",1,"39.2903848","-76.61218930000001"
"Bangkok","Thailand",1,"13.7563309","100.50176510000006"
"Banjarmasin","Indonesia",3,"-3.3167073","114.59012359999997"
"Barcelona","Spain",1,"41.38506389999999","2.1734034999999494"
"Barranca","Peru",1,"-10.7507694","-77.75951309999999"
"Barton","Philippines",1,"10.3730499","119.14289899999994"
"Beijing","China",1,"39.90419989999999","116.40739630000007"
"Bergen","Norway",1,"60.39126279999999","5.32205440000007"
"Bizerte","Tunisia",4,"37.2746124","9.862724299999968"
"Bordeaux","France",1,"44.837789","-0.5791799999999512"
"Boston","Massachusetts US",140,"42.3600825","-71.05888010000001"
"Boulogne-sur-mer","France",3,"50.725231","1.613334000000009"
"Brest","France",1,"48.390394","-4.4860760000000255"
"Bristol","England",4,"51.454513","-2.5879099999999653"
"Bruges","Belgium",1,"51.209348","3.2246995000000425"
"Cadiz","Spain",6,"36.5270612","-6.288596200000029"
"Callao","Peru",4,"-12.0508491","-77.12598430000003"
"Cardiff","England",1,"51.48158100000001","-3.1790899999999738"
"Cartagena","Colombia",3,"10.41373","-75.53357690000001"
"Chancay","Peru",1,"-11.5741352","-77.2663771"
"Copenhagen","Denmark",1,"55.6760968","12.568337100000008"
