"port","country","freq0","freq1","freq2","freq3","latitude","longitude"
"Acapulco","Mexico",0,3,7,5,"16.8531086","-99.82365329999999"
"Aleppo","Syria",0,0,2,0,"36.2021047","37.13426030000005"
"Alexandria","Egypt",0,0,0,11,"31.2000924","29.91873869999995"
"Algiers","Algeria",0,1,0,2,"36.6997294","3.0576198999999633"
"Alicante","Spain",0,0,0,2,"38.3459963","-0.4906855000000405"
"Amatique Bay","Guatemala",3,0,0,0,"15.9193894","-88.74939979999999"
"Amsterdam","Netherlands",0,1,1,2,"52.3702157","4.895167899999933"
"Ancon","Peru",0,0,0,1,"-11.7099743","-77.12550550000003"
"Ancona","Italy",0,0,2,0,"43.6158299","13.518914999999993"
"Andros","Greece",0,1,0,0,"37.8381472","24.938594299999977"
"Annapolis","Maryland US",0,1,1,0,"38.97844529999999","-76.49218289999999"
"Apulia","Italy",0,0,1,0,"40.7928393","17.101193100000046"
"Arica","Chile",0,1,1,2,"-18.4782534","-70.31259879999999"
"Arkhangelsk","Russia",0,2,1,4,"64.54725069999999","40.56015530000002"
"Arnemuiden","Netherlands",0,0,0,1,"51.5011231","3.675901500000009"
"Athens","Greece",3,0,0,0,"37.9838096","23.727538800000048"
"Attica","Greece",0,0,0,1,"38.0457568","23.85847369999999"
"Baltimore","Maryland US",0,0,6,1,"39.2903848","-76.61218930000001"
"Bangkok","Thailand",0,0,1,0,"13.7563309","100.50176510000006"
"Banjarmasin","Indonesia",0,0,1,2,"-3.3167073","114.59012359999997"
"Barcelona","Spain",0,2,1,1,"41.38506389999999","2.1734034999999494"
"Beira","Portugal",0,0,1,0,"38.6959453","-28.204414600000007"
"Bergen","Norway",2,1,1,2,"60.39126279999999","5.32205440000007"
"Bern","Switzerland",0,0,1,0,"46.9479739","7.447446799999966"
"Berwick-upon-Tweed","Scotland",1,0,2,2,"55.770242","-2.0053950000000214"
"Blaye","France",0,0,1,0,"45.126841","-0.6629410000000462"
"Bordeaux","France",0,3,0,5,"44.837789","-0.5791799999999512"
"Boston","Massachusetts US",0,1,0,2,"42.3600825","-71.05888010000001"
"Brest","France",0,0,0,4,"48.390394","-4.4860760000000255"
"Brighton","England",0,0,9,1,"50.82253000000001","-0.13716299999998682"
"Bristol","England",0,3,3,2,"51.454513","-2.5879099999999653"
"Buenos Aires","Argentina",0,1,0,0,"-34.60368440000001","-58.381559100000004"
"Cabo de Santo Agostinho","Brasil",0,0,0,2,"-8.2794071","-35.03034590000004"
"Cadiz","Spain",0,1,8,8,"36.5270612","-6.288596200000029"
"Cairo","Egypt",0,0,0,1,"30.1197986","31.537000300000045"
"Callao","Peru",0,1,6,4,"-12.0508491","-77.12598430000003"
"Cannes","France",0,1,0,0,"43.55284700000001","7.017369000000031"
"Cartagena","Colombia",0,0,0,1,"10.41373","-75.53357690000001"
"Chancay","Peru",0,0,0,1,"-11.5741352","-77.2663771"
"Charleston","South Carolina US",1,0,0,1,"32.7764749","-79.93105120000001"
"Cherbourg","France",0,0,1,0,"49.6288218","-1.6188108999999713"
"Chester","England",0,0,3,1,"53.193392","-2.8930749999999534"
"Chiloe","Chile",0,1,1,0,"-43.1216233","-74.03001219999999"
"Chincha","Peru",0,0,0,2,"-13.4266672","-76.13928169999997"
"Chios","Greece",0,0,1,0,"38.3681824","26.13100559999998"
"Christianburg","Guyana",0,0,0,1,"6.016667000000001","-58.316666999999995"
"Copenhagen","Denmark",0,0,1,2,"55.6760968","12.568337100000008"
"Coquimbo","Chile",1,0,1,0,"-29.9590009","-71.33891829999999"
"Cork","Ireland",0,0,0,1,"51.8968917","-8.486315699999977"
"Cornwall","England",0,0,0,1,"50.26604709999999","-5.052712499999984"
"Cowes","England",0,0,0,0,"50.76278500000001","-1.300532999999973"
"Dieppe","France",0,0,3,0,"49.922992","1.0774830000000293"
"Douglas","Isle of Man",0,0,0,11,"54.1523372","-4.4861227999999755"
"Dover","England",1,1,2,3,"51.1278758","1.3134026999999833"
"Dublin","Ireland",8,8,6,23,"53.3498053","-6.260309699999993"
"Dumfries","Scotland",0,0,0,1,"55.070859","-3.6051199999999426"
"Durham","England",0,0,0,3,"54.77525","-1.5848519999999553"
"Edinburgh","Scotland",0,0,5,3,"55.953252","-3.188266999999996"
"Elblag","Poland",0,1,3,0,"54.1560613","19.4044897"
"Exeter","England",0,0,2,5,"50.718412","-3.5338990000000194"
"Extremadura","Spain",0,0,0,2,"39.4937392","-6.067919399999937"
"Falmouth","England",0,0,1,1,"50.15257099999999","-5.066270000000031"
"Friuli","Italy",0,0,2,0,"46.22591769999999","13.103364599999964"
"Gaza","disputed",0,0,0,2,"31.5016951","34.46684449999998"
"Gondar","Ethiopia",0,0,2,0,"12.6030181","37.45213190000004"
"Gothenburg","Sweden",0,0,0,1,"57.70887","11.974559999999997"
"Gran Canaria","Spain",0,0,0,3,"27.9202202","-15.547437299999956"
"Grenada","Grenada",0,0,0,2,"12.1165","-61.678999999999974"
"Guangzhou","China",0,0,0,1,"23.12911","113.26438499999995"
"Harwich","England",0,0,2,0,"51.934731","1.2602970000000369"
"Havana","Cuba",3,0,0,0,"23.1135925","-82.36659559999998"
"Huacho","Peru",0,2,1,0,"-11.1227218","-77.61056789999998"
"Huanchaco","Peru",3,1,2,0,"-8.0884404","-79.08727879999998"
"Hull","England",2,1,4,2,"53.7456709","-0.3367412999999715"
"Iskenderun","Turkey",0,2,0,0,"36.584673","36.17561610000007"
"Istanbul","Turkey",0,0,0,2,"41.1634302","28.766440800000055"
"Ithaca","Greece",0,1,8,7,"38.4284603","20.676487700000052"
"Izmir","Turkey",0,1,0,0,"38.423734","27.142826000000014"
"Jeddah","Saudi Arabia",0,0,0,1,"21.2854067","39.23755070000004"
"Kalmar","Sweden",0,0,0,2,"56.6634447","16.35677899999996"
"Khambat","India",0,0,0,1,"13.0743246","80.22805770000002"
"Kinshasa","DR Congo",0,2,0,0,"-4.4419311","15.266293099999984"
"Kolkata","India",0,0,0,3,"22.572646","88.36389499999996"
"Lampung","Indonesia",0,1,0,0,"-4.5585849","105.40680789999999"
"La Plata","Argentina",0,0,2,0,"-34.9204948","-57.95356570000001"
"La Rochelle","France",0,0,4,0,"46.160329","-1.1511390000000574"
"Leith","Scotland",2,3,5,5,"55.97552779999999","-3.166510199999948"
"Lima","Peru",1,0,6,11,"-12.2720956","-76.27108329999999"
"Limerick","Ireland",0,0,0,7,"52.6680204","-8.630497500000047"
"Lisbon","Portugal",0,1,0,2,"38.7222524","-9.139336599999979"
"Liverpool","England",0,0,2,3,"53.4083714","-2.9915726000000404"
"Livorno","Italy",0,0,0,2,"43.0239848","10.66471009999998"
"London","England",44,128,169,369,"51.5073509","-0.12775829999998223"
"Londonderry","Northern Ireland",0,0,0,3,"54.9966124","-7.308574799999974"
"Lubeck","Germany",0,0,0,2,"53.86546729999999","10.686559299999999"
"Madeira","Portugal",0,0,0,4,"32.76070740000001","-16.959472300000016"
"Madrid","Spain",1,2,4,4,"40.4167754","-3.7037901999999576"
"Malacca","Malesia",0,1,0,1,"2.189594","102.25008679999996"
"Malaga","Spain",0,0,0,2,"36.721261","-4.421265500000004"
"Manila","Philippines",0,0,1,4,"14.5995124","120.9842195"
"Marseille","France",0,0,7,0,"43.296482","5.369779999999992"
"Mecca","Saudi Arabia",0,0,0,1,"21.3890824","39.85791180000001"
"Monaco","Monaco",0,0,0,1,"43.73841760000001","7.42461579999997"
"Nanking","China",0,1,0,1,"32.060255","118.796877"
"Nantes","France",0,0,1,1,"47.218371","-1.553621000000021"
"Narbonne","France",0,0,2,0,"43.184277","3.0030779999999595"
"Newcastle","England",0,2,1,5,"54.978252","-1.6177800000000389"
"Nice","France",0,0,0,1,"43.7101728","7.261953199999994"
"Norfolk","England",0,0,1,1,"52.61396860000001","0.8864020999999411"
"Odessa","Ukraine",0,0,0,1,"46.482526","30.723309500000028"
"Oslo","Norway",0,1,0,0,"59.9138688","10.752245399999993"
"Ostend","Belgium",0,1,2,2,"51.21543","2.9286560000000463"
"Panama City","Panama",0,1,0,1,"8.982379199999999","-79.51986959999999"
"Papudo","Chile",1,0,0,0,"-32.5072087","-71.44850129999998"
"Paris","France",0,2,3,0,"48.85661400000001","2.3522219000000177"
"Paros","Greece",0,1,0,0,"37.08539409999999","25.15153369999996"
"Peniche","Portugal",0,1,0,0,"39.3567111","-9.380869800000028"
"Philadelphia","Pennsylvania US",0,0,0,3,"39.9525839","-75.16522150000003"
"Plymouth","England",0,0,0,2,"50.3754565","-4.14265649999993"
"Poole","England",0,0,2,0,"50.71505","-1.9872480000000223"
"Portsmouth","England",0,4,1,2,"50.8197675","-1.0879769000000579"
"Prague","Czech Republic",0,0,1,0,"50.0755381","14.43780049999998"
"Quito","Ecuador",0,0,1,0,"-0.1806532","-78.46783820000002"
"Rabat","Morocco",0,0,1,2,"33.9715904","-6.849812899999961"
"Ravenna","Italy",0,0,0,3,"44.4183598","12.20352939999998"
"Red Sea","Seazone",0,0,0,1,"20.280232","38.512572999999975"
"Rhodes","Greece",0,1,0,0,"36.4340533","28.2176379"
"Rio de Janeiro","Brasil",0,0,1,2,"-22.9068467","-43.17289649999998"
"Rochefort","France",0,0,1,1,"45.936698","-0.9616969999999583"
"Rouen","France",0,1,3,0,"49.44323199999999","1.0999709999999823"
"Safi","Morocco",0,0,1,2,"32.3008151","-9.227203299999928"
"Sale","Morocco",0,1,3,1,"34.0336969","-6.770813800000042"
"Samos","Greece",0,2,0,0,"37.7547857","26.977770100000043"
"Sandwich","England",3,2,2,3,"51.2870393","1.3329780999999912"
"Santa Cruz","California US",0,0,0,1,"36.97411709999999","-122.03079630000002"
"Santorini","Greece",0,1,1,0,"36.3931562","25.461509200000023"
"Scarborough","England",0,3,5,3,"54.283113","-0.39975200000003497"
"Sete","France",0,0,0,4,"43.4078758","3.700821899999937"
"Setubal","Portugal",0,0,4,0,"38.52604369999999","-8.890932799999973"
"Seville","Spain",0,1,0,0,"37.3890924","-5.984458899999936"
"Southampton","England",0,5,3,5,"50.9097004","-1.404350900000054"
"St Ives","England",0,0,1,0,"50.20838579999999","-5.490886400000022"
"St Jago","Jamaica",0,0,0,1,"17.9221337","-77.3927304"
"Suez","Egypt",0,1,1,1,"29.3682255","32.17460499999993"
"Surat","Bhārat",0,0,0,1,"21.1702401","72.83106070000008"
"Szczecin","Poland",0,0,0,1,"53.4285438","14.552811600000041"
"Tadoussac","Canada",0,0,2,0,"48.1459776","-69.71283950000003"
"Taiwan","Taiwan",0,0,2,0,"23.69781","120.96051499999999"
